date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold,Revenue,,
01-Mar-22,Arunachal Pradesh,2-Wheelers,0,1111,"₹ 9,44,35,000.00",,
01-Mar-22,Arunachal Pradesh,4-Wheelers,0,679,"₹ 1,01,85,00,000.00",,
01-Mar-22,Ladakh,2-Wheelers,0,49,"₹ 41,65,000.00",,
01-Mar-22,Ladakh,4-Wheelers,0,49,"₹ 7,35,00,000.00",,
01-Mar-22,Manipur,4-Wheelers,0,717,"₹ 1,07,55,00,000.00",,
01-Mar-22,Meghalaya,2-Wheelers,0,1687,"₹ 14,33,95,000.00",,
01-Mar-22,Meghalaya,4-Wheelers,0,1104,"₹ 1,65,60,00,000.00",,
01-Mar-22,Mizoram,2-Wheelers,0,1848,"₹ 15,70,80,000.00",,
01-Mar-22,Mizoram,4-Wheelers,0,413,"₹ 61,95,00,000.00",,
01-Mar-22,Nagaland,2-Wheelers,0,541,"₹ 4,59,85,000.00",,
01-Mar-22,Nagaland,4-Wheelers,0,632,"₹ 94,80,00,000.00",,
01-Mar-22,Tripura,4-Wheelers,0,484,"₹ 72,60,00,000.00",,
01-Apr-22,Andaman & Nicobar Island,2-Wheelers,0,407,"₹ 3,45,95,000.00",,
01-Apr-22,Arunachal Pradesh,2-Wheelers,0,1063,"₹ 9,03,55,000.00",,
01-Apr-22,Arunachal Pradesh,4-Wheelers,0,824,"₹ 1,23,60,00,000.00",,
01-Apr-22,Ladakh,2-Wheelers,0,351,"₹ 2,98,35,000.00",,
01-Apr-22,Ladakh,4-Wheelers,0,105,"₹ 15,75,00,000.00",,
01-Apr-22,Mizoram,2-Wheelers,0,1530,"₹ 13,00,50,000.00",,
01-Apr-22,Mizoram,4-Wheelers,0,323,"₹ 48,45,00,000.00",,
01-Apr-22,Nagaland,4-Wheelers,0,723,"₹ 1,08,45,00,000.00",,
01-Apr-22,Tripura,4-Wheelers,0,448,"₹ 67,20,00,000.00",,
01-May-22,Andaman & Nicobar Island,2-Wheelers,0,358,"₹ 3,04,30,000.00",,
01-May-22,Andaman & Nicobar Island,4-Wheelers,0,110,"₹ 16,50,00,000.00",,
01-May-22,Arunachal Pradesh,2-Wheelers,0,1241,"₹ 10,54,85,000.00",,
01-May-22,Arunachal Pradesh,4-Wheelers,0,965,"₹ 1,44,75,00,000.00",,
01-May-22,Ladakh,2-Wheelers,0,419,"₹ 3,56,15,000.00",,
01-May-22,Ladakh,4-Wheelers,0,322,"₹ 48,30,00,000.00",,
01-May-22,Manipur,4-Wheelers,0,644,"₹ 96,60,00,000.00",,
01-May-22,Meghalaya,2-Wheelers,0,1780,"₹ 15,13,00,000.00",,
01-May-22,Mizoram,4-Wheelers,0,397,"₹ 59,55,00,000.00",,
01-May-22,Nagaland,4-Wheelers,0,630,"₹ 94,50,00,000.00",,
01-May-22,Tripura,4-Wheelers,0,359,"₹ 53,85,00,000.00",,
01-Jun-22,Andaman & Nicobar Island,2-Wheelers,0,423,"₹ 3,59,55,000.00",,
01-Jun-22,Andaman & Nicobar Island,4-Wheelers,0,115,"₹ 17,25,00,000.00",,
01-Jun-22,Arunachal Pradesh,2-Wheelers,0,1253,"₹ 10,65,05,000.00",,
01-Jun-22,Arunachal Pradesh,4-Wheelers,0,1021,"₹ 1,53,15,00,000.00",,
01-Jun-22,Ladakh,4-Wheelers,0,310,"₹ 46,50,00,000.00",,
01-Jun-22,Manipur,4-Wheelers,0,1029,"₹ 1,54,35,00,000.00",,
01-Jun-22,Mizoram,4-Wheelers,0,373,"₹ 55,95,00,000.00",,
01-Jun-22,Nagaland,2-Wheelers,0,594,"₹ 5,04,90,000.00",,
01-Jun-22,Nagaland,4-Wheelers,0,735,"₹ 1,10,25,00,000.00",,
01-Jun-22,Tripura,4-Wheelers,0,354,"₹ 53,10,00,000.00",,
01-Jul-22,Andaman & Nicobar Island,2-Wheelers,0,385,"₹ 3,27,25,000.00",,
01-Jul-22,Andaman & Nicobar Island,4-Wheelers,0,127,"₹ 19,05,00,000.00",,
01-Jul-22,Arunachal Pradesh,2-Wheelers,0,1181,"₹ 10,03,85,000.00",,
01-Jul-22,DNH and DD,4-Wheelers,0,344,"₹ 51,60,00,000.00",,
01-Jul-22,Ladakh,2-Wheelers,0,314,"₹ 2,66,90,000.00",,
01-Jul-22,Manipur,4-Wheelers,0,775,"₹ 1,16,25,00,000.00",,
